num,issn,score,name
81,0168-8278,20.582,JOURNAL OF HEPATOLOGY
82,1001-0602,20.507,CELL RESEARCH
83,1529-2908,20.479,NATURE IMMUNOLOGY
84,1759-5002,20.260,Nature Reviews Cardiology
85,1097-6256,20.071,NATURE NEUROSCIENCE
86,1465-7392,20.042,NATURE CELL BIOLOGY
87,1614-4961,20.000,Living Reviews in Solar Physics
88,0732-0582,19.900,Annual Review of Immunology
89,0017-5749,19.819,GUT
90,2451-9308,19.735,Chem
91,0066-4278,19.556,Annual Review of Physiology
92,1543-5008,19.540,Annual Review of Plant Biology
93,1745-2473,19.256,Nature Physics
94,0000-0000,19.003,ACS Energy Letters
95,0000-0000,18.952,Nature Biomedical Engineering
96,0000-0000,18.684,Science Robotics
97,2168-6106,18.652,JAMA Internal Medicine
98,0923-7534,18.274,ANNALS OF ONCOLOGY
99,0000-0000,18.250,Psychological Science in the Public Interest
100,0066-4308,18.156,Annual Review of Psychology
101,0066-4308,18.156,Annual Review of Psychology
102,0302-2838,17.947,EUROPEAN UROLOGY
103,0162-8828,17.861,IEEE TRANSACTIONS ON PATTERN ANALYSIS AND MACHINE INTELLIGENCE
104,0342-4642,17.679,INTENSIVE CARE MEDICINE
105,0006-4971,17.543,BLOOD
106,2168-622X,17.471,JAMA Psychiatry
107,2168-622X,17.471,JAMA Psychiatry
108,1073-449X,17.452,AMERICAN JOURNAL OF RESPIRATORY AND CRITICAL CARE MEDICINE
109,0031-6997,17.395,PHARMACOLOGICAL REVIEWS
110,0016-5085,17.373,GASTROENTEROLOGY
111,0140-525X,17.333,BEHAVIORAL AND BRAIN SCIENCES
112,0140-525X,17.333,BEHAVIORAL AND BRAIN SCIENCES
113,0000-0000,17.127,Alzheimers & Dementia
114,0000-0000,17.054,Applied Physics Reviews
115,0034-4885,17.032,REPORTS ON PROGRESS IN PHYSICS
116,1748-0132,16.907,Nano Today
117,1616-301X,16.836,ADVANCED FUNCTIONAL MATERIALS
118,0000-0000,16.778,Wiley Interdisciplinary Reviews-Computational Molecular Science
119,0000-0000,16.750,Annual Review of Pathology-Mechanisms of Disease
120,2053-714X,16.693,National Science Review
121,0000-0000,16.683,APPLIED CATALYSIS B-ENVIRONMENTAL
122,0000-0000,16.625,Nature Reviews Rheumatology
123,2211-2855,16.602,Nano Energy
124,0163-7525,16.463,Annual Review of Public Health
125,0163-7525,16.463,Annual Review of Public Health
126,0001-8732,16.375,ADVANCES IN PHYSICS
127,1941-1405,16.359,Annual Review of Marine Science
128,0066-4189,16.306,Annual Review of Fluid Mechanics
129,1946-6234,16.304,Science Translational Medicine
130,0000-0000,16.292,Lancet Public Health
131,0000-0000,16.292,Lancet Public Health
132,0000-0000,16.280,Energy Storage Materials
133,0000-0000,16.209,Lancet Psychiatry
134,0000-0000,16.209,Lancet Psychiatry
135,0003-4967,16.102,ANNALS OF THE RHEUMATIC DISEASES
136,0962-8924,16.041,TRENDS IN CELL BIOLOGY
137,0149-5992,16.019,DIABETES CARE
138,0935-4956,16.000,ASTRONOMY AND ASTROPHYSICS REVIEW
139,0000-0000,15.923,Cell Host & Microbe
140,2198-3844,15.840,Advanced Science
141,1097-2765,15.584,MOLECULAR CELL
142,1523-9829,15.541,Annual Review of Biomedical Engineering
143,0000-0000,15.540,Nature Microbiology
144,1560-2745,15.386,FUNGAL DIVERSITY
145,0010-8545,15.367,COORDINATION CHEMISTRY REVIEWS
146,1476-4598,15.302,Molecular Cancer
147,1364-6613,15.218,TRENDS IN COGNITIVE SCIENCES
148,1364-6613,15.218,TRENDS IN COGNITIVE SCIENCES
149,0163-7827,15.083,PROGRESS IN LIPID RESEARCH
150,0000-0000,14.976,Journal of Extracellular Vesicles
151,0033-3190,14.864,PSYCHOTHERAPY AND PSYCHOSOMATICS
152,0033-3190,14.864,PSYCHOTHERAPY AND PSYCHOSOMATICS
153,1350-9462,14.860,PROGRESS IN RETINAL AND EYE RESEARCH
154,1947-5454,14.833,Annual Review of Condensed Matter Physics
155,0000-0000,14.813,Lancet HIV
156,0000-0000,14.789,Lancet Gastroenterology & Hepatology
157,1571-0645,14.789,Physics of Life Reviews
158,0000-0000,14.764,TRENDS IN ECOLOGY & EVOLUTION
159,0968-0004,14.732,TRENDS IN BIOCHEMICAL SCIENCES
160,1943-8206,14.690,Advances in Optics and Photonics
161,0270-9139,14.679,HEPATOLOGY
162,1081-0706,14.667,Annual Review of Cell and Developmental Biology
163,0163-769X,14.661,ENDOCRINE REVIEWS
164,0002-7863,14.612,JOURNAL OF THE AMERICAN CHEMICAL SOCIETY
165,1936-0851,14.588,ACS Nano
166,0742-3098,14.528,JOURNAL OF PINEAL RESEARCH
167,0009-7330,14.467,CIRCULATION RESEARCH
168,0950-6608,14.429,INTERNATIONAL MATERIALS REVIEWS
169,1360-1385,14.416,TRENDS IN PLANT SCIENCE
170,0896-6273,14.415,NEURON
171,0167-7799,14.343,TRENDS IN BIOTECHNOLOGY
172,1750-984X,14.333,International Review of Sport and Exercise Psychology
173,0001-6322,14.251,ACTA NEUROPATHOLOGICA
174,0002-953X,14.119,AMERICAN JOURNAL OF PSYCHIATRY
175,0002-953X,14.119,AMERICAN JOURNAL OF PSYCHIATRY
176,0000-0000,14.041,Annual Review of Ecology Evolution and Systematics
177,2168-6203,13.946,JAMA Pediatrics
178,0105-2896,13.939,IMMUNOLOGICAL REVIEWS
179,0168-6445,13.920,FEMS MICROBIOLOGY REVIEWS
180,0066-4170,13.796,Annual Review of Entomology
181,0000-0000,13.714,Light-Science & Applications
182,1548-5943,13.692,Annual Review of Clinical Psychology
183,1548-5943,13.692,Annual Review of Clinical Psychology
184,1566-2535,13.669,Information Fusion
185,0000-0000,13.642,Journal of Statistical Software
186,2168-6254,13.625,JAMA Surgery
187,2168-6149,13.608,JAMA Neurology
188,0000-0000,13.606,MMWR-MORBIDITY AND MORTALITY WEEKLY REPORT
189,1932-4529,13.593,IEEE Industrial Electronics Magazine
190,1752-0894,13.566,Nature Geoscience
191,0966-842X,13.546,TRENDS IN MICROBIOLOGY
192,0165-6147,13.503,TRENDS IN PHARMACOLOGICAL SCIENCES
193,0076-2997,13.500,MALACOLOGIA
194,0000-0000,13.493,Signal Transduction and Targeted Therapy
195,0000-0000,13.440,Science Immunology
196,1471-4906,13.422,TRENDS IN IMMUNOLOGY
197,0146-6410,13.421,PROGRESS IN PARTICLE AND NUCLEAR PHYSICS
198,1556-0864,13.357,Journal of Thoracic Oncology
199,0169-409X,13.300,ADVANCED DRUG DELIVERY REVIEWS
200,2055-026X,13.256,Nature Plants
201,0000-0000,13.116,Science Advances
202,2168-6831,13.000,IEEE Geoscience and Remote Sensing Magazine
203,0000-0000,12.959,ANGEWANDTE CHEMIE-INTERNATIONAL EDITION
204,0166-2236,12.891,TRENDS IN NEUROSCIENCES
205,2157-1724,12.818,Kidney International Supplements
206,2380-6583,12.794,JAMA Cardiology
207,0000-0000,12.740,JACC-Cardiovascular Imaging
208,2374-7943,12.685,ACS Central Science
209,1355-4786,12.684,HUMAN REPRODUCTION UPDATE
210,0066-4286,12.623,Annual Review of Phytopathology
211,1552-4450,12.587,Nature Chemical Biology
212,2160-3308,12.577,Physical Review X
213,1092-2172,12.568,MICROBIOLOGY AND MOLECULAR BIOLOGY REVIEWS
214,0147-006X,12.547,Annual Review of Neuroscience
215,0000-0000,12.541,Nature Ecology & Evolution
216,1531-7331,12.531,Annual Review of Materials Research
217,1359-4184,12.384,MOLECULAR PSYCHIATRY
218,0000-0000,12.350,ACS Catalysis
219,0903-1936,12.339,EUROPEAN RESPIRATORY JOURNAL
220,1542-0124,12.336,Ocular Surface
221,1088-8683,12.321,PERSONALITY AND SOCIAL PSYCHOLOGY REVIEW
222,0000-0000,12.319,Materials Horizons
223,0000-0000,12.282,Nature Human Behaviour
224,0000-0000,12.282,Nature Human Behaviour
225,2150-5551,12.264,Nano-Micro Letters
226,0000-0000,12.130,Small Methods
227,2041-1723,12.121,Nature Communications
228,0000-0000,12.110,RENEWABLE & SUSTAINABLE ENERGY REVIEWS
229,0006-3223,12.095,BIOLOGICAL PSYCHIATRY
230,1674-2052,12.084,Molecular Plant
231,0000-0000,12.080,Nature Sustainability
232,0000-0000,12.080,Nature Sustainability
233,0306-3674,12.022,BRITISH JOURNAL OF SPORTS MEDICINE
234,0265-0568,12.000,NATURAL PRODUCT REPORTS
235,0300-8428,11.981,BASIC RESEARCH IN CARDIOLOGY
236,0000-0000,11.980,NATURE STRUCTURAL & MOLECULAR BIOLOGY
237,0000-0000,11.952,JOURNAL OF PHOTOCHEMISTRY AND PHOTOBIOLOGY C-PHOTOCHEMISTRY REVIEWS
238,1941-6520,11.865,Academy of Management Annals
239,0021-9738,11.864,JOURNAL OF CLINICAL INVESTIGATION
240,0022-1007,11.743,JOURNAL OF EXPERIMENTAL MEDICINE
241,1936-122X,11.685,Annual Review of Biophysics
242,1043-2760,11.641,TRENDS IN ENDOCRINOLOGY AND METABOLISM
243,1388-9842,11.627,EUROPEAN JOURNAL OF HEART FAILURE
244,0000-0000,11.607,Microbiome
245,0000-0000,11.577,JNCI-Journal of the National Cancer Institute
246,0000-0000,11.518,Nature Astronomy
247,2095-4700,11.508,Bone Research
248,0305-1048,11.501,NUCLEIC ACIDS RESEARCH
249,1613-6810,11.459,Small
250,0036-1445,11.431,SIAM REVIEW
251,0733-8716,11.420,IEEE JOURNAL ON SELECTED AREAS IN COMMUNICATIONS
252,1536-1284,11.391,IEEE WIRELESS COMMUNICATIONS
253,0000-0000,11.389,CATALYSIS REVIEWS-SCIENCE AND ENGINEERING
254,0033-5533,11.375,QUARTERLY JOURNAL OF ECONOMICS
255,1053-5888,11.350,IEEE SIGNAL PROCESSING MAGAZINE
256,0006-8950,11.337,BRAIN
257,0168-9525,11.333,TRENDS IN GENETICS
258,2050-7488,11.301,Journal of Materials Chemistry A
259,0362-1642,11.250,Annual Review of Pharmacology and Toxicology
260,1530-6984,11.238,NANO LETTERS
261,1089-778X,11.169,IEEE TRANSACTIONS ON EVOLUTIONARY COMPUTATION
262,1361-8415,11.148,MEDICAL IMAGE ANALYSIS
263,0066-4197,11.146,Annual Review of Genetics
264,1471-4914,11.099,TRENDS IN MOLECULAR MEDICINE
265,1088-9051,11.093,GENOME RESEARCH
266,0000-0000,11.093,Trends in Cancer
267,1044-579X,11.090,SEMINARS IN CANCER BIOLOGY
268,2168-2267,11.079,IEEE Transactions on Cybernetics
269,0000-0000,11.077,TRENDS IN FOOD SCIENCE & TECHNOLOGY
270,0737-4038,11.062,MOLECULAR BIOLOGY AND EVOLUTION
271,0000-0000,11.059,Journal of Hematology & Oncology
272,0163-6804,11.052,IEEE COMMUNICATIONS MAGAZINE
273,0066-4227,11.000,Annual Review of Microbiology
274,1368-7646,11.000,DRUG RESISTANCE UPDATES
275,1759-4812,11.000,Nature Reviews Urology
276,0000-0000,10.923,Annual Review of Organizational Psychology and Organizational Behavior
277,0199-9885,10.897,Annual Review of Nutrition
278,1474-7596,10.806,GENOME BIOLOGY
279,1042-2587,10.750,ENTREPRENEURSHIP THEORY AND PRACTICE
280,0734-9750,10.744,BIOTECHNOLOGY ADVANCES
281,1350-9047,10.717,CELL DEATH AND DIFFERENTIATION
282,1464-7931,10.701,BIOLOGICAL REVIEWS
283,1756-994X,10.675,Genome Medicine
284,0000-0000,10.655,Laser & Photonics Reviews
285,1385-8947,10.652,CHEMICAL ENGINEERING JOURNAL
286,0066-426X,10.638,Annual Review of Physical Chemistry
287,1568-1637,10.616,AGEING RESEARCH REVIEWS
288,2452-414X,10.615,Journal of Industrial Information Integration
289,0000-0000,10.557,PHARMACOLOGY & THERAPEUTICS
290,0002-9297,10.502,AMERICAN JOURNAL OF HUMAN GENETICS
291,1549-1277,10.500,PLOS MEDICINE
292,0000-0000,10.466,GLOBAL ENVIRONMENTAL CHANGE-HUMAN AND POLICY DIMENSIONS
293,0000-0000,10.466,GLOBAL ENVIRONMENTAL CHANGE-HUMAN AND POLICY DIMENSIONS
294,0000-0000,10.443,Materials Today Physics
295,0000-0000,10.438,Reviews in Mineralogy & Geochemistry
296,1754-2189,10.419,Nature Protocols
297,1063-5157,10.408,SYSTEMATIC BIOLOGY
298,0000-0000,10.406,Lancet Haematology
299,0142-9612,10.317,BIOMATERIALS
300,0884-8173,10.312,INTERNATIONAL JOURNAL OF INTELLIGENT SYSTEMS
301,0000-0000,10.257,BIOSENSORS & BIOELECTRONICS
302,0272-7358,10.255,CLINICAL PSYCHOLOGY REVIEW
303,0018-9219,10.252,PROCEEDINGS OF THE IEEE
304,1522-8517,10.247,NEURO-ONCOLOGY
305,2043-8206,10.231,Dialogues in Human Geography
306,0091-6749,10.228,JOURNAL OF ALLERGY AND CLINICAL IMMUNOLOGY
307,0002-9270,10.171,AMERICAN JOURNAL OF GASTROENTEROLOGY
308,0000-0000,10.164,Protein & Cell
309,0003-4932,10.130,ANNALS OF SURGERY
310,1078-0432,10.107,CLINICAL CANCER RESEARCH
311,1534-5807,10.092,DEVELOPMENTAL CELL
312,2213-2317,9.986,Redox Biology
313,2327-4662,9.936,IEEE Internet of Things Journal
314,2055-6756,9.927,Nanoscale Horizons
315,0001-8686,9.922,ADVANCES IN COLLOID AND INTERFACE SCIENCE
316,1047-840X,9.917,PSYCHOLOGICAL INQUIRY
317,2051-1426,9.913,Journal for ImmunoTherapy of Cancer
318,1541-4337,9.912,COMPREHENSIVE REVIEWS IN FOOD SCIENCE AND FOOD SAFETY
319,0895-3309,9.912,JOURNAL OF ECONOMIC PERSPECTIVES
320,0261-4189,9.889,EMBO JOURNAL
321,0000-0000,9.802,Journal of Cachexia Sarcopenia and Muscle
322,0000-0000,9.801,TRAC-TRENDS IN ANALYTICAL CHEMISTRY
323,0969-6970,9.780,ANGIOGENESIS
324,2334-2536,9.778,Optica
325,1554-8627,9.770,Autophagy
326,0008-5472,9.727,CANCER RESEARCH
327,0012-8252,9.724,EARTH-SCIENCE REVIEWS
328,2235-1795,9.720,Liver Cancer
329,0066-4219,9.716,Annual Review of Medicine
330,1367-5931,9.689,CURRENT OPINION IN CHEMICAL BIOLOGY
331,0167-5729,9.688,SURFACE SCIENCE REPORTS
332,1040-4651,9.618,PLANT CELL
333,1087-0792,9.613,SLEEP MEDICINE REVIEWS
334,0960-9822,9.601,CURRENT BIOLOGY
335,0093-7355,9.600,LAB ANIMAL
336,1750-1326,9.599,Molecular Neurodegeneration
337,0000-0000,9.586,Arthritis & Rheumatology
338,0098-2997,9.577,MOLECULAR ASPECTS OF MEDICINE
339,0000-0000,9.571,CURRENT OPINION IN SOLID STATE & MATERIALS SCIENCE
340,0897-4756,9.567,CHEMISTRY OF MATERIALS
341,1947-5438,9.561,Annual Review of Chemical and Biomolecular Engineering
342,0000-0000,9.527,GENES & DEVELOPMENT
343,1063-6706,9.518,IEEE TRANSACTIONS ON FUZZY SYSTEMS
344,2095-9273,9.511,Science Bulletin
345,1463-9262,9.480,GREEN CHEMISTRY
346,0027-8424,9.412,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA
347,0003-0007,9.384,BULLETIN OF THE AMERICAN METEOROLOGICAL SOCIETY
348,0301-0082,9.371,PROGRESS IN NEUROBIOLOGY
349,2041-6520,9.346,Chemical Science
350,0000-0000,9.341,npj Computational Materials
351,1057-7149,9.340,IEEE TRANSACTIONS ON IMAGE PROCESSING
352,0000-0000,9.324,npj 2D Materials and Applications
353,0000-0000,9.316,Journal of the National Comprehensive Cancer Network
354,0000-0000,9.309,IEEE Transactions on Systems Man Cybernetics-Systems
355,0198-6325,9.300,MEDICINAL RESEARCH REVIEWS
356,1540-9295,9.295,FRONTIERS IN ECOLOGY AND THE ENVIRONMENT
357,0000-0000,9.274,JOURNAL OF THE AMERICAN SOCIETY OF NEPHROLOGY
358,0020-7225,9.219,INTERNATIONAL JOURNAL OF ENGINEERING SCIENCE
359,1866-3508,9.197,Earth System Science Data
360,1044-5323,9.186,SEMINARS IN IMMUNOLOGY
361,1751-7362,9.180,ISME Journal
362,2213-6657,9.179,Analytic Methods in Accident Research
363,0047-2506,9.158,JOURNAL OF INTERNATIONAL BUSINESS STUDIES
364,0043-1354,9.130,WATER RESEARCH
365,1551-3203,9.112,IEEE Transactions on Industrial Informatics
366,0084-6597,9.089,Annual Review of Earth and Planetary Sciences
367,0034-4257,9.085,REMOTE SENSING OF ENVIRONMENT
368,1556-603X,9.083,IEEE Computational Intelligence Magazine
369,0091-3022,9.059,FRONTIERS IN NEUROENDOCRINOLOGY
370,0304-3894,9.038,JOURNAL OF HAZARDOUS MATERIALS
371,0364-5134,9.037,ANNALS OF NEUROLOGY
372,0166-0616,9.027,STUDIES IN MYCOLOGY
373,1744-4292,8.991,Molecular Systems Biology
374,1467-5463,8.990,BRIEFINGS IN BIOINFORMATICS
375,1525-0016,8.986,MOLECULAR THERAPY
376,1941-1413,8.960,Annual Review of Food Science and Technology
377,0085-2538,8.945,KIDNEY INTERNATIONAL
378,0376-0421,8.940,PROGRESS IN AEROSPACE SCIENCES
379,1751-2395,8.938,Social Issues and Policy Review
380,1098-3600,8.904,GENETICS IN MEDICINE
381,0079-6565,8.892,PROGRESS IN NUCLEAR MAGNETIC RESONANCE SPECTROSCOPY
382,0277-7037,8.887,MASS SPECTROMETRY REVIEWS
383,0305-7372,8.885,CANCER TREATMENT REVIEWS
384,0149-2063,8.880,JOURNAL OF MANAGEMENT
385,0306-2619,8.848,APPLIED ENERGY
386,0040-6376,8.834,THORAX
387,0008-6223,8.821,CARBON
388,1757-4676,8.821,EMBO Molecular Medicine
389,0021-9525,8.811,JOURNAL OF CELL BIOLOGY
390,0890-8044,8.808,IEEE NETWORK
391,2162-237X,8.793,IEEE Transactions on Neural Networks and Learning Systems
392,0163-8998,8.778,Annual Review of Nuclear and Particle Science
393,0028-3878,8.770,NEUROLOGY
394,1944-8244,8.758,ACS Applied Materials & Interfaces
395,0000-0000,8.750,JACC-Heart Failure
396,2326-6066,8.728,Cancer Immunology Research
397,0000-0000,8.724,Bioactive Materials
398,0000-0000,8.706,ALLERGY
399,0885-3185,8.679,MOVEMENT DISORDERS
400,0000-0000,8.673,Cell Systems
401,1461-023X,8.665,ECOLOGY LETTERS
402,0887-6924,8.665,LEUKEMIA
403,0000-0000,8.658,Journal of Crohns & Colitis
404,1460-8545,8.631,INTERNATIONAL JOURNAL OF MANAGEMENT REVIEWS
405,1838-7640,8.579,Theranostics
406,0945-053X,8.572,MATRIX BIOLOGY
407,1354-1013,8.555,GLOBAL CHANGE BIOLOGY
408,1093-9687,8.552,COMPUTER-AIDED CIVIL AND INFRASTRUCTURE ENGINEERING
409,0112-1642,8.551,SPORTS MEDICINE
410,1542-3565,8.549,Clinical Gastroenterology and Hepatology
411,0000-0000,8.543,Lancet Child & Adolescent Health
412,0028-646X,8.512,NEW PHYTOLOGIST
413,0000-0000,8.484,Cellular & Molecular Immunology
414,0161-6420,8.470,OPHTHALMOLOGY
415,0962-4929,8.455,ACTA NUMERICA
416,0000-0000,8.432,JACC-Cardiovascular Interventions
417,1082-989X,8.430,PSYCHOLOGICAL METHODS
418,0363-7425,8.413,ACADEMY OF MANAGEMENT REVIEW
419,2210-4224,8.400,Environmental Innovation and Societal Transitions
420,2210-4224,8.400,Environmental Innovation and Societal Transitions
421,0001-8392,8.391,ADMINISTRATIVE SCIENCE QUARTERLY
422,0031-9007,8.385,PHYSICAL REVIEW LETTERS
423,0091-6765,8.382,ENVIRONMENTAL HEALTH PERSPECTIVES
424,1369-5266,8.356,CURRENT OPINION IN PLANT BIOLOGY
425,2352-9407,8.352,Applied Materials Today
426,1040-8436,8.344,CRITICAL REVIEWS IN SOLID STATE AND MATERIALS SCIENCES
427,0065-2156,8.333,Advances in Applied Mechanics
428,0149-7634,8.330,NEUROSCIENCE AND BIOBEHAVIORAL REVIEWS
429,0008-8846,8.328,CEMENT AND CONCRETE RESEARCH
430,0034-6543,8.327,REVIEW OF EDUCATIONAL RESEARCH
431,1058-4838,8.313,CLINICAL INFECTIOUS DISEASES
432,0012-3692,8.308,CHEST
433,1064-3389,8.302,CRITICAL REVIEWS IN ENVIRONMENTAL SCIENCE AND TECHNOLOGY
434,0958-1669,8.288,CURRENT OPINION IN BIOTECHNOLOGY
435,0000-0000,8.286,Advanced Optical Materials
436,0006-3568,8.282,BIOSCIENCE
437,0013-0095,8.279,ECONOMIC GEOGRAPHY
438,0190-9622,8.277,JOURNAL OF THE AMERICAN ACADEMY OF DERMATOLOGY
439,1745-6916,8.275,Perspectives on Psychological Science
440,1949-3053,8.267,IEEE Transactions on Smart Grid
441,0378-7753,8.247,JOURNAL OF POWER SOURCES
442,0955-0674,8.240,CURRENT OPINION IN CELL BIOLOGY
443,0000-0000,8.234,JOURNAL OF NEUROLOGY NEUROSURGERY AND PSYCHIATRY
444,0000-0000,8.227,PERSOONIA
445,1758-5082,8.213,Biofabrication
446,0268-4012,8.210,INTERNATIONAL JOURNAL OF INFORMATION MANAGEMENT
447,0196-8904,8.208,ENERGY CONVERSION AND MANAGEMENT
448,2041-8205,8.198,Astrophysical Journal Letters
449,1998-0124,8.183,Nano Research
450,0008-6363,8.168,CARDIOVASCULAR RESEARCH
451,0193-936X,8.160,EPIDEMIOLOGIC REVIEWS
452,1467-7644,8.154,PLANT BIOTECHNOLOGY JOURNAL
453,1369-5274,8.134,CURRENT OPINION IN MICROBIOLOGY
454,1884-4049,8.131,NPG Asia Materials
455,2211-1247,8.109,Cell Reports
456,0738-8551,8.108,CRITICAL REVIEWS IN BIOTECHNOLOGY
457,0000-0000,8.086,RESOURCES CONSERVATION AND RECYCLING
458,1543-5938,8.065,Annual Review of Environment and Resources
459,1543-5938,8.065,Annual Review of Environment and Resources
460,2044-5385,8.023,Blood Cancer Journal
461,2327-056X,8.021,Annual Review of Virology
462,0000-0000,8.019,INTERNATIONAL JOURNAL OF MACHINE TOOLS & MANUFACTURE
463,0360-0300,7.990,ACM COMPUTING SURVEYS
464,0950-9232,7.971,ONCOGENE
465,1864-5631,7.962,ChemSusChem
466,0092-0703,7.959,JOURNAL OF THE ACADEMY OF MARKETING SCIENCE
467,0586-7614,7.958,SCHIZOPHRENIA BULLETIN
468,0586-7614,7.958,SCHIZOPHRENIA BULLETIN
469,0000-0000,7.950,ASTROPHYSICAL JOURNAL SUPPLEMENT SERIES
470,0033-8419,7.931,RADIOLOGY
471,1556-6072,7.921,IEEE Vehicular Technology Magazine
472,0000-0000,7.919,Clinical and Translational Medicine
473,1469-493X,7.890,Cochrane Database of Systematic Reviews
474,0021-9517,7.888,JOURNAL OF CATALYSIS
475,0161-5505,7.887,JOURNAL OF NUCLEAR MEDICINE
476,1053-2498,7.865,JOURNAL OF HEART AND LUNG TRANSPLANTATION
477,0013-936X,7.864,ENVIRONMENTAL SCIENCE & TECHNOLOGY
478,1040-8398,7.862,CRITICAL REVIEWS IN FOOD SCIENCE AND NUTRITION
479,0007-1250,7.850,BRITISH JOURNAL OF PSYCHIATRY
480,0007-1250,7.850,BRITISH JOURNAL OF PSYCHIATRY
481,0007-2303,7.800,BROOKINGS PAPERS ON ECONOMIC ACTIVITY
482,1753-5123,7.772,Reviews in Aquaculture
483,1568-9972,7.767,AUTOIMMUNITY REVIEWS
484,0000-0000,7.744,CANADIAN MEDICAL ASSOCIATION JOURNAL
485,1949-0976,7.740,Gut Microbes
486,2451-9448,7.739,Cell Chemical Biology
487,2168-6068,7.738,JAMA Dermatology
