Number,Total Cites,name,score
2555,"15,886",DIABETIC MEDICINE,4.359
2556,"26,980",ANNALS OF BOTANY,4.357
2556,"3,034",Frontiers of Environmental Science & Engineering,4.357
2558,"8,554","CANADIAN JOURNAL OF PSYCHIATRY-REVUE
CANADIENNE DE PSYCHIATRIE",4.356
2558,"8,554","CANADIAN JOURNAL OF PSYCHIATRY-REVUE
CANADIENNE DE PSYCHIATRIE",4.356
2560,"5,695",CYTOMETRY PART A,4.355
2560,"1,732",Journal of Biological Engineering,4.355
2560,"4,246",Journal of Product and Brand Management,4.355
2563,"101,397",JOURNAL OF ORGANIC CHEMISTRY,4.354
2564,"2,759",REVIEWS IN THE NEUROSCIENCES,4.353
2565,"4,254",Atmospheric Pollution Research,4.352
2566,"1,425",Enterprise Information Systems,4.350
2566,"7,819",Foods,4.350
2566,318,npj Science of Learning,4.350
2566,318,npj Science of Learning,4.350
2570,"12,355",JOURNAL OF HYDROMETEOROLOGY,4.349
2570,476,Journal of Organizational and End User Computing,4.349
2570,476,Journal of Organizational and End User Computing,4.349
2570,"2,320",Psychology of Aesthetics Creativity and the Arts,4.349
2574,"6,558",IEEE Wireless Communications Letters,4.348
2574,"19,822",MARINE AND PETROLEUM GEOLOGY,4.348
2576,"25,616","JOURNAL OF PETROLEUM SCIENCE AND
ENGINEERING",4.346
2577,"8,201",ACS Medicinal Chemistry Letters,4.345
2577,"11,559",BIOESSAYS,4.345
2577,"11,373","NATURAL HAZARDS AND EARTH SYSTEM
SCIENCES",4.345
2580,"4,757","EUROPEAN JOURNAL OF INFORMATION
SYSTEMS",4.344
2580,"4,757","EUROPEAN JOURNAL OF INFORMATION
SYSTEMS",4.344
2582,"21,052","KNEE SURGERY SPORTS TRAUMATOLOGY
ARTHROSCOPY",4.342
2582,"17,387",MATERIALS CHARACTERIZATION,4.342
2582,"9,715",MATURITAS,4.342
2582,"1,415",PATHOBIOLOGY,4.342
2586,"1,459","IEEE Transactions on Cognitive Communications and
Networking",4.341
2587,730,International Journal of Bipolar Disorders,4.340
2587,"4,114",READING RESEARCH QUARTERLY,4.340
2589,"5,292",Multiple Sclerosis and Related Disorders,4.339
2590,"3,915","Journal of Rock Mechanics and Geotechnical
Engineering",4.338
2591,"4,963",ASTROBIOLOGY,4.335
2591,"18,560","BRITISH JOURNAL OF CLINICAL
PHARMACOLOGY",4.335
2593,"9,082",CALCIFIED TISSUE INTERNATIONAL,4.333
2593,"2,392",Criminology & Public Policy,4.333
2593,"1,658",Internet Interventions-The Application of Information Technology in Mental and Behavioural Health,4.333
2593,"1,658",Internet Interventions-The Application of Information Technology in Mental and Behavioural Health,4.333
2593,"2,703",JOURNAL OF INVESTIGATIONAL ALLERGOLOGY AND CLINICAL IMMUNOLOGY,4.333
2593,"2,866",JOURNAL OF RURAL HEALTH,4.333
2593,"2,866",JOURNAL OF RURAL HEALTH,4.333
2593,"6,702",POLITICAL PSYCHOLOGY,4.333
2593,"2,882",SCHOOL PSYCHOLOGY QUARTERLY,4.333
2602,"41,620",ANNALS OF THORACIC SURGERY,4.330
2602,"16,216",CLINICAL AND EXPERIMENTAL IMMUNOLOGY,4.330
2602,"5,302",EUROPEAN JOURNAL OF ANAESTHESIOLOGY,4.330
2602,"4,583",SAUDI PHARMACEUTICAL JOURNAL,4.330
2606,"12,078",EMOTION,4.329
2606,"27,637",Polymers,4.329
2608,"11,913","SOCIAL PSYCHIATRY AND PSYCHIATRIC
EPIDEMIOLOGY",4.328
2608,"11,913","SOCIAL PSYCHIATRY AND PSYCHIATRIC
EPIDEMIOLOGY",4.328
2610,"1,850",VIROLOGICA SINICA,4.327
2611,"19,316",JOURNAL OF BIOGEOGRAPHY,4.324
2612,"14,127","INTERNATIONAL BIODETERIORATION &
BIODEGRADATION",4.320
2612,"6,931",International Journal of Disaster Risk Reduction,4.320
2614,"10,210","JOURNAL OF SCIENCE AND MEDICINE IN
SPORT",4.319
2615,789,ICT Express,4.317
2616,"3,633",CHROMOSOMA,4.316
2616,"89,711",JOURNAL OF THE ELECTROCHEMICAL SOCIETY,4.316
2618,"14,052",CELLULAR SIGNALLING,4.315
2619,"1,512",Biocybernetics and Biomedical Engineering,4.314
2619,"7,486",MOLECULAR AND CELLULAR NEUROSCIENCE,4.314
2621,"9,067",GLYCOBIOLOGY,4.313
2621,"1,669",LANGUAGE LEARNING & TECHNOLOGY,4.313
2623,"12,926","IEEE TRANSACTIONS ON ENERGY
CONVERSION",4.312
2623,"14,749",PSYCHOSOMATIC MEDICINE,4.312
2623,"14,749",PSYCHOSOMATIC MEDICINE,4.312
2626,"49,734",CHEMICAL ENGINEERING SCIENCE,4.311
2627,"22,017","AMERICAN JOURNAL OF PHYSIOLOGY-
ENDOCRINOLOGY AND METABOLISM",4.310
2628,"2,352",Journal of Cardiovascular Computed Tomography,4.309
2629,"4,571",BASIN RESEARCH,4.308
2630,"43,729",AMERICAN JOURNAL OF PATHOLOGY,4.307
2631,"5,312",HISTOCHEMISTRY AND CELL BIOLOGY,4.304
2632,"17,423",ACCOUNTING REVIEW,4.301
2633,"2,992","INTERNATIONAL JOURNAL OF ELECTRONIC
COMMERCE",4.300
2633,"2,992","INTERNATIONAL JOURNAL OF ELECTRONIC
COMMERCE",4.300
2635,"3,743",Journal of Mental Health,4.299
2636,"6,827",Bulletin of Engineering Geology and the Environment,4.298
2637,"3,343",CURRENT PSYCHOLOGY,4.297
2637,"4,473",GENETICS SELECTION EVOLUTION,4.297
2639,"6,588",NEUROMUSCULAR DISORDERS,4.296
2640,"22,556",Biogeosciences,4.295
2640,"5,771",Climate of the Past,4.295
2642,"6,799","CURRENT OPINION IN CLINICAL NUTRITION
AND METABOLIC CARE",4.294
2642,"8,569",NEUROTOXICOLOGY,4.294
2644,"4,951",JOURNAL OF SCHOOL PSYCHOLOGY,4.292
2644,"12,816","JOURNAL OF STEROID BIOCHEMISTRY AND
MOLECULAR BIOLOGY",4.292
2646,"2,389","ARCHIVUM IMMUNOLOGIAE ET THERAPIAE
EXPERIMENTALIS",4.291
2646,"5,494",BRITISH MEDICAL BULLETIN,4.291
2646,"6,980",Current Topics in Microbiology and Immunology,4.291
2646,"30,369","JOURNAL OF AUTISM AND DEVELOPMENTAL
DISORDERS",4.291
2646,"19,489","JOURNAL OF PHOTOCHEMISTRY AND
PHOTOBIOLOGY A-CHEMISTRY",4.291
2651,"6,367",Metabolomics,4.290
2651,"4,423",STANFORD LAW REVIEW,4.290
2653,905,Geo-Spatial Information Science,4.288
2653,"5,658",HEPATOLOGY RESEARCH,4.288
2655,"7,988",HAEMOPHILIA,4.287
2656,"13,247",JOURNAL OF ENDOCRINOLOGY,4.286
2656,"22,497","MOLECULAR PHYLOGENETICS AND
EVOLUTION",4.286
2656,985,Progress in Optics,4.286
2659,"26,010",BIOLOGY OF REPRODUCTION,4.285
2660,"5,917",GEOTHERMICS,4.284
2661,"5,829",Aesthetic Surgery Journal,4.283
2661,"3,006",Current Opinion in HIV and AIDS,4.283
2663,"14,288",POLYMER TESTING,4.282
2664,"4,971",ACTA DIABETOLOGICA,4.280
2664,"5,483",ADDICTION BIOLOGY,4.280
2664,"1,890",Climate and Development,4.280
2667,"1,077",Advances in Nonlinear Analysis,4.279
2668,"6,676",PSYCHOLOGICAL INQUIRY,4.278
2669,"3,296",BIOGERONTOLOGY,4.277
2669,"7,594",CONTEMPORARY EDUCATIONAL PSYCHOLOGY,4.277
2669,"1,524",Journal of Intelligent Transportation Systems,4.277
2669,"1,524",Journal of Intelligent Transportation Systems,4.277
2673,"2,754",Journal of Genetics and Genomics,4.275
2674,476,Oeconomia Copernicana,4.274
2675,"5,234",ACTA MATHEMATICA,4.273
2675,"7,904",HARMFUL ALGAE,4.273
2677,"59,220",MOLECULAR AND CELLULAR BIOLOGY,4.272
2677,"4,333",R & D MANAGEMENT,4.272
2679,"19,501",PLANT PHYSIOLOGY AND BIOCHEMISTRY,4.270
2680,"11,300",JOURNAL OF MONETARY ECONOMICS,4.269
2681,"4,222",GEOGRAPHICAL ANALYSIS,4.268
2681,"31,991",JOURNAL OF VASCULAR SURGERY,4.268
2683,"5,731",BRITISH JOURNAL OF PSYCHOLOGY,4.267
2683,"15,057",HEALTH PSYCHOLOGY,4.267
2683,"15,057",HEALTH PSYCHOLOGY,4.267
2686,"1,098",Toxin Reviews,4.266
2687,"8,079","INTERNATIONAL JOURNAL FOR NUMERICAL
AND ANALYTICAL METHODS IN
GEOMECHANICS",4.264
2688,"7,017",Journal of NeuroEngineering and Rehabilitation,4.262
2689,"80,961","JOURNAL OF GEOPHYSICAL RESEARCH-
ATMOSPHERES",4.261
2690,"14,765","Communications in Nonlinear Science and Numerical
Simulation",4.260
2690,"6,259",JOURNAL OF GEODESY,4.260
2690,970,Journal of Hospitality and Tourism Technology,4.260
2693,882,Journal of Asthma and Allergy,4.258
2693,"5,243",SOCIOLOGICAL REVIEW,4.258
2695,"7,841","JOURNAL OF ENDOCRINOLOGICAL
INVESTIGATION",4.256
2695,"15,983","RETINA-THE JOURNAL OF RETINAL AND
VITREOUS DISEASES",4.256
2697,"23,046","CANCER EPIDEMIOLOGY BIOMARKERS &
PREVENTION",4.254
2698,"6,375",JOURNAL OF ORAL PATHOLOGY & MEDICINE,4.253
2699,"3,468",Environmental Science-Water Research & Technology,4.251
2700,"4,822",Expert Opinion On Drug Safety,4.250
2700,"1,157",Information Technology for Development,4.250
2700,"2,954",Marketing Theory,4.250
2700,825,Sport Exercise and Performance Psychology,4.250
2704,"18,210","AMERICAN JOURNAL OF PHYSIOLOGY-CELL
PHYSIOLOGY",4.249
2704,"9,473",JOURNAL OF CORPORATE FINANCE,4.249
2704,"2,466",Social Media + Society,4.249
2707,"1,987",Cancer Biology & Medicine,4.248
2708,"12,623",EUROPEAN JOURNAL OF HUMAN GENETICS,4.246
2709,"11,360",NICOTINE & TOBACCO RESEARCH,4.244
2709,"11,360",NICOTINE & TOBACCO RESEARCH,4.244
2711,"1,958",Physics of the Dark Universe,4.243
2711,"3,892",Translational Oncology,4.243
2713,"52,908",AQUACULTURE,4.242
2714,"2,263",BMC CELL BIOLOGY,4.241
2714,"2,186",Briefings in Functional Genomics,4.241
2714,"21,502",Journal of Clinical Medicine,4.241
2717,"10,205",APPLIED GEOGRAPHY,4.240
2717,"2,318",Food Bioscience,4.240
2719,"2,704",Breast Cancer,4.239
2719,"3,362",JOURNAL OF QUANTITATIVE CRIMINOLOGY,4.239
2719,"2,264",Reaction Chemistry & Engineering,4.239
2722,"5,320",Environmental Science-Processes & Impacts,4.238
2723,"11,066","Chemical Engineering and Processing-Process
Intensification",4.237
2723,"4,716",JOURNAL OF ECONOMIC SURVEYS,4.237
2723,918,Sociological Science,4.237
2726,921,Lupus Science & Medicine,4.235
2727,"2,826",Journal of Ovarian Research,4.234
2728,"2,133",ADSORPTION SCIENCE & TECHNOLOGY,4.232
2728,"4,251",Journal of Diabetes Investigation,4.232
2730,"1,111",NEW TECHNOLOGY WORK AND EMPLOYMENT,4.231
2730,"1,252",Policy and Society,4.231
2732,"1,005",Esophagus,4.230
2733,"5,722",CHINA ECONOMIC REVIEW,4.227
2734,"24,950","PHILOSOPHICAL TRANSACTIONS OF THE
ROYAL SOCIETY A-MATHEMATICAL PHYSICAL
AND ENGINEERING SCIENCES",4.226
2734,"9,148",WORLD JOURNAL OF UROLOGY,4.226
2736,"6,459",INDUSTRIAL MANAGEMENT & DATA SYSTEMS,4.224
2737,"72,761","ENVIRONMENTAL SCIENCE AND POLLUTION
RESEARCH",4.223
2738,"7,701","NUTRITION METABOLISM AND
CARDIOVASCULAR DISEASES",4.222
2739,"12,658","SCANDINAVIAN JOURNAL OF MEDICINE &
SCIENCE IN SPORTS",4.221
2739,"16,221",TOXICOLOGY,4.221
2741,"6,603",EUROPEAN JOURNAL OF MECHANICS A-SOLIDS,4.220
2741,"63,029",JOURNAL OF MATERIALS SCIENCE,4.220
2743,"6,487",SAUDI JOURNAL OF BIOLOGICAL SCIENCES,4.219
2743,"23,426",TOXICOLOGY AND APPLIED PHARMACOLOGY,4.219
2745,"11,402",ECOSYSTEMS,4.217
2746,"18,560",BMC PLANT BIOLOGY,4.215
2746,"3,862",Chemistry Central Journal,4.215
2748,"3,816",HEART FAILURE REVIEWS,4.214
2749,"3,629","Journal of International Financial Markets Institutions &
Money",4.211
2749,"1,551",Mycosphere,4.211
2751,"1,638",European Thyroid Journal,4.209
2752,"2,340",Educational Management Administration & Leadership,4.208
2752,"13,141","INTERNATIONAL JOURNAL OF IMPACT
ENGINEERING",4.208
2752,"2,104",Journal of Plant Interactions,4.208
2755,"4,874","CLINICAL AND EXPERIMENTAL
OPHTHALMOLOGY",4.207
2755,"11,142",Journal of Cancer,4.207
2755,"6,886",Reviews in Mineralogy & Geochemistry,4.207
2758,"2,470",Beneficial Microbes,4.205
2759,"2,061",Frontiers of Chemical Science and Engineering,4.204
2760,"23,761",PHARMACEUTICAL RESEARCH,4.200
2761,"4,922",Journal of Positive Psychology,4.197
2761,"1,663",Nucleus,4.197
2763,"3,372",Immunotherapy,4.196
2763,"2,190",Journal of Consumer Culture,4.196
2763,"13,149",TREE PHYSIOLOGY,4.196
2766,"2,667","IEEE Transactions on Network and Service
Management",4.195
2767,"19,890",FEMS MICROBIOLOGY ECOLOGY,4.194
2768,"2,371",Annual Review of Economics,4.193
2768,"2,910",International Transactions in Operational Research,4.193
2768,"2,910",International Transactions in Operational Research,4.193
2771,"44,914",PLANT AND SOIL,4.192
2771,"2,735",TECHNOLOGY IN SOCIETY,4.192
2773,"18,818","EUROPEAN JOURNAL OF CARDIO-THORACIC
SURGERY",4.191
2773,997,EXPERT OPINION ON EMERGING DRUGS,4.191
2775,"2,554",Canadian Journal of Diabetes,4.190
2776,"18,708",IEEE ELECTRON DEVICE LETTERS,4.187
2776,669,npj Systems Biology and Applications,4.187
2778,"8,228","INTERNATIONAL JOURNAL OF GEOGRAPHICAL
INFORMATION SCIENCE",4.186
2778,"8,228","INTERNATIONAL JOURNAL OF GEOGRAPHICAL
INFORMATION SCIENCE",4.186
2780,"28,251",COMBUSTION AND FLAME,4.185
2780,"3,266",Globalization and Health,4.185
2780,"3,266",Globalization and Health,4.185
2783,"7,891",BEHAVIOR THERAPY,4.183
2784,772,Anthropocene Review,4.182
2784,772,Anthropocene Review,4.182
2786,"2,044",Gut Pathogens,4.181
2787,"2,130",SCIENCE COMMUNICATION,4.180
2787,"5,313",SEMINARS IN THROMBOSIS AND HEMOSTASIS,4.180
2789,"5,376",EVOLUTION AND HUMAN BEHAVIOR,4.178
2789,"5,376",EVOLUTION AND HUMAN BEHAVIOR,4.178
2791,"20,317",AIDS,4.177
2792,"12,203",Atmospheric Measurement Techniques,4.176
2792,"44,823","CLINICAL ORTHOPAEDICS AND RELATED
RESEARCH",4.176
2794,"1,781",IEEE MICRO,4.175
2795,"1,070",Human Cell,4.174
2796,"12,969",MARINE POLICY,4.173
2797,"4,858",Frontiers in Ecology and Evolution,4.171
2797,"22,265",JOURNAL OF ENDODONTICS,4.171
2797,"13,703",MOLECULAR PLANT-MICROBE INTERACTIONS,4.171
2800,"2,551",Energy Science & Engineering,4.170
2800,"4,994",INTERNATIONAL JOURNAL OF NUMERICAL METHODS FOR HEAT & FLUID FLOW,4.170
2802,"5,371",JOURNAL OF PLANT GROWTH REGULATION,4.169
2802,"1,592","NJAS-WAGENINGEN JOURNAL OF LIFE
SCIENCES",4.169
2802,"4,937",Nutrition & Metabolism,4.169
2802,980,Recent Patents on Anti-Cancer Drug Discovery,4.169
2802,"1,293",Tissue Engineering and Regenerative Medicine,4.169
2807,"1,199",PRESLIA,4.167
2808,"12,504",Spine Journal,4.166
2809,"37,692",INTERNATIONAL JOURNAL OF CARDIOLOGY,4.164
2809,"15,264",JOURNAL OF NEUROSCIENCE RESEARCH,4.164
2809,"2,398",Kidney International Reports,4.164
2812,"10,056",Drug Design Development and Therapy,4.162
2813,"4,424",Express Polymer Letters,4.161
2814,"4,982",MITOCHONDRION,4.160
2815,"2,451","International Journal of Bilingual Education and
Bilingualism",4.159
2816,"2,365","JOURNAL OF PHYSIOLOGY AND
BIOCHEMISTRY",4.158
2816,"54,675",SURFACE & COATINGS TECHNOLOGY,4.158
2818,"6,606",Cyberpsychology Behavior and Social Networking,4.157
2818,"13,383",Frontiers in Psychiatry,4.157
2818,"13,383",Frontiers in Psychiatry,4.157
2818,"1,241",Mathematical Modelling of Natural Phenomena,4.157
2822,"16,212",HYDROMETALLURGY,4.156
2823,"12,863",JOURNAL OF INORGANIC BIOCHEMISTRY,4.155
2823,"2,523","JOURNAL OF TEACHING IN PHYSICAL
EDUCATION",4.155
2823,"2,523","JOURNAL OF TEACHING IN PHYSICAL
EDUCATION",4.155
2823,"11,861",SEDIMENTOLOGY,4.155
2827,"7,999",PUBLIC OPINION QUARTERLY,4.154
2827,"12,635",SEX ROLES,4.154
2829,"8,158",JOURNAL OF PSYCHOPHARMACOLOGY,4.153
2830,"14,136",DEVELOPMENT AND PSYCHOPATHOLOGY,4.151
2830,"1,684",LGBT Health,4.151
2830,"1,684",LGBT Health,4.151
2833,"9,040",FREE RADICAL RESEARCH,4.148
2834,"5,352",DECISION SCIENCES,4.147
2834,"3,445",Journal of Neuroimmune Pharmacology,4.147
2834,"16,157",OncoTargets and Therapy,4.147
2834,"2,324",Psychology of Violence,4.147
2834,"19,584",QUALITY OF LIFE RESEARCH,4.147
2834,"19,584",QUALITY OF LIFE RESEARCH,4.147
2840,"1,176",ASN Neuro,4.146
2840,"12,538",Catalysts,4.146
2840,"1,215",Toxics,4.146
2843,"1,030",Asia Pacific Journal of Human Resources,4.143
2843,"1,137",European Political Science Review,4.143
2843,641,JMIR Serious Games,4.143
2846,"35,942","ANALYTICAL AND BIOANALYTICAL
CHEMISTRY",4.142
2846,"26,555",JOURNAL OF LIGHTWAVE TECHNOLOGY,4.142
2848,"8,834",ADVANCES IN ENGINEERING SOFTWARE,4.141
2848,"9,513","INTERNATIONAL JOURNAL OF LIFE CYCLE
ASSESSMENT",4.141
2850,"4,191",INTERNATIONAL REVIEW OF PSYCHIATRY,4.140
2851,"28,906",GEOMORPHOLOGY,4.139
2851,"3,976",International Journal of Pavement Engineering,4.139
2851,"1,612",Journal of Management & Organization,4.139
2854,"35,317",MOLECULAR BIOLOGY OF THE CELL,4.138
2855,"5,911",Journal of Minimally Invasive Gynecology,4.137
2856,"4,929",JOURNAL OF AIR TRANSPORT MANAGEMENT,4.134
2857,"15,193",EARTH SURFACE PROCESSES AND LANDFORMS,4.133
2858,"1,101",Anaesthesia Critical Care & Pain Medicine,4.132
2858,"10,191",HUMAN GENETICS,4.132
2858,"2,109",Journal of Cardiovascular Translational Research,4.132
2858,"3,122","WORLD JOURNAL OF BIOLOGICAL
PSYCHIATRY",4.132
2862,"23,291",IEEE TRANSACTIONS ON POWER DELIVERY,4.131
2863,"1,145",Advances in Climate Change Research,4.130
2863,"15,608",JOURNAL OF NEURO-ONCOLOGY,4.130
2865,"19,974",OBESITY SURGERY,4.129
2866,"1,251",Fuzzy Optimization and Decision Making,4.128
2866,"3,435","JOURNALISM & MASS COMMUNICATION
QUARTERLY",4.128
2866,"6,458",Microorganisms,4.128
2869,"5,170",MICROSCOPY AND MICROANALYSIS,4.127
2870,"4,553",CLINICAL ONCOLOGY,4.126
2870,"167,398",Journal of Physical Chemistry C,4.126
2872,"4,782",BRITISH JOURNAL OF CLINICAL PSYCHOLOGY,4.125
2873,"54,620",FEBS LETTERS,4.124
2874,"9,924",BIOSYSTEMS ENGINEERING,4.123
2874,"10,742",Orphanet Journal of Rare Diseases,4.123
2876,"5,722",ENVIRONMENTAL TOXICOLOGY,4.119
2876,"6,165",JOURNAL OF LABOR ECONOMICS,4.119
2876,"3,140",SPORT EDUCATION AND SOCIETY,4.119
2876,"3,140",SPORT EDUCATION AND SOCIETY,4.119
2880,"16,834",Journal of the Royal Society Interface,4.118
2881,"6,360",Accounting Auditing & Accountability Journal,4.117
2881,"2,172",Geopolitics,4.117
2881,"7,234",TRANSPORTATION SCIENCE,4.117
2881,"7,234",TRANSPORTATION SCIENCE,4.117
2885,"23,776",PLANTA,4.116
2886,"2,430",JMIR Public Health and Surveillance,4.112
2886,"2,430",JMIR Public Health and Surveillance,4.112
2886,"27,562",QUATERNARY SCIENCE REVIEWS,4.112
2889,"5,667",Ad Hoc Networks,4.111
2890,"1,038",Food and Energy Security,4.109
2891,"1,450",Journal of Clinical and Translational Hepatology,4.108
2892,"3,472",Pituitary,4.107
2893,"3,130",Membranes,4.106
2894,"9,399","AMERICAN JOURNAL OF GERIATRIC
PSYCHIATRY",4.105
2894,"9,399","AMERICAN JOURNAL OF GERIATRIC
PSYCHIATRY",4.105
2894,"11,112",APPLIED ORGANOMETALLIC CHEMISTRY,4.105
2897,"8,820",PROSTATE,4.104
2898,"1,487",ENVIRONMENT,4.103
2898,"1,487",ENVIRONMENT,4.103
2900,"4,226",Biofuels Bioproducts & Biorefining-Biofpr,4.102
2900,"14,866","IEEE TRANSACTIONS ON AEROSPACE AND
ELECTRONIC SYSTEMS",4.102
2900,"18,715","MOLECULAR AND CELLULAR
ENDOCRINOLOGY",4.102
2903,"2,434",Annals of Cardiothoracic Surgery,4.101
2903,"16,634","INTERNATIONAL JOURNAL OF MOLECULAR
MEDICINE",4.101
2905,"5,566",Journal of Biomedical Nanotechnology,4.099
2905,"9,953",Virology Journal,4.099
2907,"4,898","BEST PRACTICE & RESEARCH IN CLINICAL
RHEUMATOLOGY",4.098
2907,"2,128",Journal of Systematics and Evolution,4.098
2907,"38,446",SPECTROCHIMICA ACTA PART A-MOLECULAR AND BIOMOLECULAR SPECTROSCOPY,4.098
2910,"1,144",Forensic Toxicology,4.096
2910,"11,556",Genes,4.096
2912,"37,600",MATERIALS CHEMISTRY AND PHYSICS,4.094
2913,"4,709","Amyotrophic Lateral Sclerosis and Frontotemporal
Degeneration",4.092
2913,"7,257",INFLAMMATION,4.092
2915,"37,512",APPLIED MATHEMATICS AND COMPUTATION,4.091
2915,290,Journal of High Energy Astrophysics,4.091
2915,"3,698",Research in International Business and Finance,4.091
2918,"1,248",Climate Risk Management,4.090
2918,"1,248",Climate Risk Management,4.090
2918,"2,101",Petroleum Science,4.090
2921,"2,241",ACS Applied Polymer Materials,4.089
2921,"9,703",ACTA ONCOLOGICA,4.089
2921,"3,746",JOURNAL OF EDUCATION POLICY,4.089
2921,"2,353",Plant Genome,4.089
2925,"8,209",DIGESTIVE AND LIVER DISEASE,4.088
2926,"8,770",JOURNAL OF GENERAL PHYSIOLOGY,4.086
2927,"1,780",NEUROINFORMATICS,4.085
2928,"3,682",International Journal of Mining Science and Technology,4.084
2928,"2,492",World Allergy Organization Journal,4.084
2930,"1,218",Applied Economic Perspectives and Policy,4.083
2930,"1,218",Applied Economic Perspectives and Policy,4.083
2932,"10,054","AMERICAN JOURNAL OF AGRICULTURAL
ECONOMICS",4.082
2932,"10,054","AMERICAN JOURNAL OF AGRICULTURAL
ECONOMICS",4.082
2932,"14,401","JOURNAL OF WIND ENGINEERING AND
INDUSTRIAL AERODYNAMICS",4.082
2935,"3,340",Frontiers in Neuroinformatics,4.081
2935,"1,005",Stroke and Vascular Neurology,4.081
2935,"5,122",eNeuro,4.081
2938,"5,988","BASIC & CLINICAL PHARMACOLOGY &
TOXICOLOGY",4.080
2938,"10,811",PROGRESS IN OCEANOGRAPHY,4.080
2940,"13,342",BIOCHIMIE,4.079
2941,"9,762",HEALTH & PLACE,4.078
2941,"9,762",HEALTH & PLACE,4.078
2941,"2,489",RURAL SOCIOLOGY,4.078
2944,"11,823",BRAIN RESEARCH BULLETIN,4.077
2944,"2,055",Human Resource Development Quarterly,4.077
2944,"1,428","International Journal for Parasitology-Drugs and Drug
Resistance",4.077
2944,"13,075","JOURNALS OF GERONTOLOGY SERIES B-
PSYCHOLOGICAL SCIENCES AND SOCIAL
SCIENCES",4.077
2944,"13,075","JOURNALS OF GERONTOLOGY SERIES B-
PSYCHOLOGICAL SCIENCES AND SOCIAL
SCIENCES",4.077
2949,"1,656","ARCHIVES OF PHYSIOLOGY AND
BIOCHEMISTRY",4.076
2949,"21,219","CONTRIBUTIONS TO MINERALOGY AND
PETROLOGY",4.076
2949,"33,973",CRYSTAL GROWTH & DESIGN,4.076
2949,"6,503",MEDICAL MYCOLOGY,4.076
2949,"17,172",PLANT MOLECULAR BIOLOGY,4.076
2954,"7,384",Journal of Nutrition Health & Aging,4.075
2955,"1,598",Molecular Diagnosis & Therapy,4.074
2956,"2,357",Emerging Markets Review,4.073
2956,"5,115",PALAEONTOLOGY,4.073
2958,962,Journal of Bone Oncology,4.072
2958,"37,013",PHYTOCHEMISTRY,4.072
2960,"3,461",European Journal of Psychotraumatology,4.071
2960,"30,918",MEDICAL PHYSICS,4.071
2962,"1,541",Cancer Genomics & Proteomics,4.069
2962,"28,926",INTERNATIONAL JOURNAL OF CLIMATOLOGY,4.069
2964,"2,642",EXCLI Journal,4.068
2965,"4,192",GPS SOLUTIONS,4.066
2966,"7,541",CELL TRANSPLANTATION,4.064
2966,"7,825",VIRCHOWS ARCHIV,4.064
2968,"1,916",Publications Mathematiques de l IHES,4.063
2969,"9,720",Journal of Clinical Sleep Medicine,4.062
2969,"5,609",PSYCHOLOGY OF WOMEN QUARTERLY,4.062
2971,"10,495",American Journal of Translational Research,4.060
2971,"1,212",Mobile DNA,4.060
2973,"1,046",BMC BIOCHEMISTRY,4.059
2974,"1,614",EXPERIMENTAL HEAT TRANSFER,4.058
2975,"5,362",CARIES RESEARCH,4.056
2975,"13,953",Environment and Planning A-Economy and Space,4.056
2975,"3,680",JOURNAL OF DIGITAL IMAGING,4.056
2975,"5,615",PREVENTION SCIENCE,4.056
2979,"10,936",APPLIED MATHEMATICS LETTERS,4.055
2979,"2,005",Global Environmental Politics,4.055
2981,"2,462",CPT-Pharmacometrics & Systems Pharmacology,4.054
2981,"6,610",JOURNAL OF PEACE RESEARCH,4.054
2981,"4,150",JOURNAL OF REPRODUCTIVE IMMUNOLOGY,4.054
2984,"16,609",AMERICAN JOURNAL OF PHYSIOLOGY- GASTROINTESTINAL AND LIVER PHYSIOLOGY,4.052
2985,"11,914","Materials Science and Engineering B-Advanced
Functional Solid-State Materials",4.051
2986,"5,190",European Journal of Sport Science,4.050
2986,"32,074",JOURNAL OF NATURAL PRODUCTS,4.050
2988,"1,364",Journal of Eating Disorders,4.049
2988,"1,364",Journal of Eating Disorders,4.049
2990,"9,818",Neurosurgical Focus,4.047
2991,"14,083",APPLIED SOIL ECOLOGY,4.046
2991,"7,651","INTERNATIONAL JOURNAL OF MEDICAL
INFORMATICS",4.046
2993,"12,152",Journal of Proteomics,4.044
2993,"8,939",NMR IN BIOMEDICINE,4.044
2995,"10,249","JOURNAL OF GEOPHYSICAL RESEARCH-EARTH
SURFACE",4.041
2995,"3,782",Molecular Brain,4.041
2997,"406,465",PHYSICAL REVIEW B,4.036
2998,"22,968",ECOLOGICAL ENGINEERING,4.035
2998,"4,339","INTERNATIONAL JOURNAL OF METHODS IN
PSYCHIATRIC RESEARCH",4.035
2998,"4,339","INTERNATIONAL JOURNAL OF METHODS IN
PSYCHIATRIC RESEARCH",4.035
2998,"2,904",Journal of Global Antimicrobial Resistance,4.035
2998,"3,727",Neonatology,4.035
3003,"66,689",JOURNAL OF DAIRY SCIENCE,4.034
3003,710,Journal of Responsible Innovation,4.034
3005,"55,479",BIOPHYSICAL JOURNAL,4.033
3006,"12,714",EXPERIMENTAL GERONTOLOGY,4.032
3007,"1,281",Therapeutic Advances in Respiratory Disease,4.031
3008,"30,999","JOURNAL OF PHARMACOLOGY AND
EXPERIMENTAL THERAPEUTICS",4.030
